,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timecategory
19280,26425,PG33785,A Star for a Night: A Story of Stage Life,"Janis, Elsie",1889,1956,['en'],4,{'Fiction'},Text,1913,24,0,
15517,21469,PG29324,A Poetical Review of the Literary and Moral Character of the late Samuel Johnson (1786),"Courtenay, John",1738,1816,['en'],4,"{'Johnson, Samuel, 1709-1784 -- Poetry'}",Text,1825,87,4,4
443,744,PG10670,With Zola in England: A Story of Exile,"Vizetelly, Ernest Alfred",1853,1922,['en'],4,"{'Zola, Émile, 1840-1902', 'France -- Politics and government -- 1870-1940'}",Text,1898,45,2,10
15764,21793,PG29616,Two Arrows: A Story of Red and White,"Stoddard, William O.",1835,1925,['en'],5,{'Indians of North America -- Fiction'},Text,1869,34,1,8
21192,28874,PG3598,Essays of Michel de Montaigne — Volume 18,"Montaigne, Michel de",1533,1592,['en'],5,{'French essays -- Translations into English'},Text,1917,384,4,
11223,15504,PG23956,"Anti-Slavery Opinions before the Year 1800: Read before the Cincinnati Literary Club, November 16, 1872","Buchanan, George",1763,1808,['en'],5,"{'Antislavery movements -- United States', 'Slavery -- United States'}",Text,1885,122,4,10
1450,2324,PG12092,"The Oxford Movement; Twelve Years, 1833-1845","Church, R. W. (Richard William)",1815,1890,['en'],5,{'Oxford movement'},Text,1845,30,1,6
13512,18680,PG26814,Edouard,"Duras, Claire de Durfort, duchesse de",1777,1828,['fr'],5,"{'France -- Social life and customs -- 18th century -- Fiction', 'Romance fiction', 'French fiction -- 19th century'}",Text,1825,48,2,4
21276,28982,PG36086,L'hôtellerie sanglante,"Mahalin, Paul",1838,1899,['fr'],5,{'Historical fiction'},Text,1880,42,2,9
15699,21702,PG29534,"The Myxomycetes of the Miami Valley, Ohio","Morgan, A. P. (Andrew Price)",1836,1906,['en'],5,{'Myxomycetes -- Ohio -- Miami River Valley'},Text,1878,42,2,9
14305,19785,PG27809,"Mémoires de Frédérique Sophie Wilhelmine de Prusse, margrave de Bareith. Tome 2","Wilhelmine, Margravine, consort of Friedrich, Margrave of Bayreuth",1709,1758,['fr'],5,"{'Wilhelmine, Margravine, consort of Friedrich, Margrave of Bayreuth, 1709-1758', 'Prussia (Germany) -- History -- Frederick William I, 1713-1740', 'Prussia (Germany) -- Court and courtiers'}",Text,1837,128,4,5
14304,19784,PG27808,"Mémoires de Frédérique Sophie Wilhelmine de Prusse, margrave de Bareith. Tome 1","Wilhelmine, Margravine, consort of Friedrich, Margrave of Bayreuth",1709,1758,['fr'],5,"{'Wilhelmine, Margravine, consort of Friedrich, Margrave of Bayreuth, 1709-1758', 'Prussia (Germany) -- History -- Frederick William I, 1713-1740', 'Prussia (Germany) -- Court and courtiers'}",Text,1837,128,4,5
20254,27649,PG34887,Australasian Democracy,"Walker, Henry de Rosenbach",1867,1923,['en'],5,"{'Great Britain -- Colonies -- Australia', 'Australia -- Politics and government'}",Text,1896,29,1,10
12036,16589,PG24932,The Tribune of Nova Scotia: A Chronicle of Joseph Howe,"Grant, W. L. (William Lawson)",1872,1935,['en'],5,"{'Howe, Joseph, 1804-1873'}",Text,1873,1,-1,9
12810,17657,PG25894,"The Spirit Proper to the Times: A Sermon preached in King's Chapel, Boston, Sunday, May 12, 1861","Walker, James",1794,1874,['en'],5,"{'Unitarian Universalist churches -- Sermons', 'United States -- History -- Civil War, 1861-1865 -- Sermons'}",Text,1862,68,4,8
19282,26427,PG33787,Rockhaven,"Munn, Charles Clark",1848,1917,['en'],5,"{'Love stories', 'Swindlers and swindling -- Fiction', 'New England -- Fiction', 'Islands -- Fiction'}",Text,1916,68,4,
3594,5225,PG14703,Le nain noir,"Scott, Walter",1771,1832,['fr'],5,"{'Historical fiction', 'Scotland -- Fiction'}",Text,1829,58,3,4
5245,7448,PG16704,Adventures in Southern Seas: A Tale of the Sixteenth Century,"Forbes, George",1849,1936,['en'],5,{'Oceania -- Discovery and exploration -- Dutch -- Fiction'},Text,1909,60,3,10
17872,24543,PG32090,"The Curlytops Snowed In; Or, Grand Fun with Skates and Sleds","Garis, Howard Roger",1873,1962,['en'],5,"{'Brothers and sisters -- Juvenile fiction', 'Winter -- Juvenile fiction'}",Text,1910,37,2,10
391,670,PG10603,With Kelly to Chitral,"Beynon, William George Laurence, Sir",1866,1955,['en'],5,"{'India -- History -- Chitral Campaign, 1895'}",Text,1896,30,1,10
4326,6213,PG15593,Les aventures de M. Colin-Tampon,"Girardin, Jules",1832,1888,['fr'],5,"{""Children's stories, French"", 'Humorous stories', 'Hunting stories'}",Text,1896,64,3,10
18985,26030,PG33429,The Philosophy of the Weather. And a Guide to Its Changes,"Butler, T. B. (Thomas Belden)",1806,1873,['en'],5,"{'Weather', 'Weather forecasting'}",Text,1893,87,4,10
21998,29943,PG36952,Collectanea de Diversis Rebus: Addresses and Papers,"Eade, Peter, Sir",1825,1915,['en'],5,"{'English essays', 'Speeches, addresses, etc., English'}",Text,1853,28,1,7
21984,29926,PG36937,Judith Trachtenberg: A Novel,"Franzos, Karl Emil",1848,1904,['en'],5,"{'Poland -- Fiction', 'Man-woman relationships -- Fiction', 'Jews -- Fiction'}",Text,1878,30,1,9
19952,27291,PG34564,Maudit soit l'Amour!,"Lecomte du Noüy, Hermine Oudinot",1854,1915,['fr'],5,{'French fiction'},Text,1894,40,2,10
4224,6077,PG15470,Inez: A Tale of the Alamo,"Evans, Augusta J. (Augusta Jane)",1835,1909,['en'],5,"{'Historical fiction', 'Sieges -- Fiction', 'Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction'}",Text,1868,33,1,8
18686,25634,PG33072,"Stevenson's Perfect Virtues, as Exemplified by Leigh Hunt","Brewer, Luther Albertus",1858,1933,['en'],5,"{'Hunt, Leigh, 1784-1859 -- Ethics'}",Text,1869,11,-1,8
3697,5355,PG14820,Une femme d'argent,"Malot, Hector",1830,1907,['fr'],5,{'Fiction'},Text,1878,48,2,9
22960,31258,PG38135,"Etain the Beloved, and Other Poems","Cousins, James Henry",1873,1956,['en'],5,{'Poetry'},Text,1910,37,2,10
8340,11493,PG20345,"Old Man Savarin, and Other Stories","Thomson, Edward William",1849,1924,['en'],5,"{'Short stories, Canadian', 'Canada -- Social life and customs -- Fiction', 'Canadians -- Foreign countries -- Fiction'}",Text,1909,60,3,10
21409,29149,PG36237,The Mystery of the Locks,"Howe, E. W. (Edgar Watson)",1853,1937,['en'],5,"{'Nebraska -- Fiction', 'Man-woman relationships -- Fiction', 'City and town life -- Fiction', 'Mystery fiction'}",Text,1865,12,-1,8
656,1034,PG10931,"The Lullaby, with Original Engravings","Bolles, John R. (John Rogers)",1810,1895,['en'],5,{'Poetry'},Text,1817,7,-1,3
13087,18046,PG26243,"Discovery of Oxygen, Part 2","Scheele, Carl Wilhelm",1742,1786,['en'],6,"{'Oxygen', 'Phlogiston'}",Text,1777,35,2,1
13061,17990,PG26193,"The Rover Boys in Southern Waters; or, The Deserted Steam Yacht","Stratemeyer, Edward",1862,1930,['en'],6,"{'Boats and boating -- Juvenile fiction', 'Mississippi River -- Juvenile fiction', 'Yachts -- Juvenile fiction', 'Detective and mystery stories', 'Mexico, Gulf of -- Juvenile fiction'}",Text,1917,55,3,
23230,31622,PG38463,A Selection from the Works of Frederick Locker,"Locker-Lampson, Frederick",1821,1895,['en'],6,{'English poetry'},Text,1891,70,4,10
19552,26761,PG34087,Muutaman työmiehen elämän-vaiheet eli Orjuus Ruotsissa,"Thomasson, Pehr",1818,1883,['fi'],6,{'Swedish fiction -- Translations into Finnish'},Text,1828,10,-1,4
14760,20404,PG28366,Nancy Stair: A Novel,"Lane, Elinor Macartney",1864,1909,['en'],6,"{'Scotland -- Fiction', 'Young women -- Fiction'}",Text,1909,45,2,10
20714,28267,PG35442,"The Dodd Family Abroad, Vol. II","Lever, Charles James",1806,1872,['en'],6,{'Fiction'},Text,1904,98,4,10
22473,30587,PG37531,Theology and the Social Consciousness: A Study of the Relations of the Social Consciousness to Theology (2nd ed.),"King, Henry Churchill",1858,1934,['en'],6,"{'Christian sociology', 'Theology, Doctrinal -- History -- 20th century'}",Text,1888,30,1,10
3986,5755,PG15180,The Honorable Percival,"Rice, Alice Caldwell Hegan",1870,1942,['en'],6,"{'Man-woman relationships -- Fiction', 'Voyages and travels -- Fiction'}",Text,1903,33,1,10
11743,16211,PG24592,The Tale of Snowball Lamb,"Bailey, Arthur Scott",1877,1949,['en'],6,"{'Lambs -- Juvenile fiction', 'Animals -- Juvenile fiction', ""Children's stories"", 'Conduct of life -- Juvenile fiction'}",Text,1908,31,1,10
19346,26497,PG3384,Some Anomalies of the Short Story (from Literature and Life),"Howells, William Dean",1837,1920,['en'],6,"{'Essays', 'Literature'}",Text,1917,80,4,
19686,26950,PG34257,Means and Ends of Education,"Spalding, John Lancaster",1840,1916,['en'],6,"{'Education', 'Culture'}",Text,1914,74,4,
9549,13149,PG21836,The Tale of Jasper Jay: Tuck-Me-In Tales,"Bailey, Arthur Scott",1877,1949,['en'],6,"{'Animals -- Juvenile fiction', 'Birds -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",Text,1908,31,1,10
14828,20493,PG28446,Uncle Terry: A Story of the Maine Coast,"Munn, Charles Clark",1848,1917,['en'],6,{'Maine -- Fiction'},Text,1855,7,-1,7
14275,19748,PG27776,The Methodist: A Poem,"Lloyd, Evan",1734,1776,['en'],6,"{'Methodists -- England -- Poetry', 'Methodism -- Poetry'}",Text,1864,130,4,8
375,649,PG10585,My Strangest Case,"Boothby, Guy",1867,1905,['en'],6,{'Detective and mystery stories'},Text,1888,21,0,10
18293,25108,PG3259,Countess Kate,"Yonge, Charlotte M. (Charlotte Mary)",1823,1901,['en'],6,"{'London (England) -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction'}",Text,1890,67,4,10
17650,24246,PG31823,"The Orpheus C. Kerr Papers, Series 3","Newell, R. H. (Robert Henry)",1836,1901,['en'],6,"{'United States -- History -- Civil War, 1861-1865 -- Fiction'}",Text,1856,20,0,7
11130,15339,PG23807,The Uncle Of An Angel: 1891,"Janvier, Thomas A. (Thomas Allibone)",1849,1913,['en'],6,{'United States -- Social life and customs -- 19th century -- Fiction'},Text,1899,50,3,10
20782,28355,PG35521,"Riding Recollections, 5th ed.","Whyte-Melville, G. J. (George John)",1821,1878,['en'],6,"{'Hunt riding', 'Horsemanship'}",Text,1917,96,4,
11083,15279,PG23753,The Diverting History of John Gilpin,"Cowper, William",1731,1800,['en'],6,{'English poetry'},Text,1878,147,4,9
20710,28262,PG35438,"The Three Devils: Luther's, Milton's, and Goethe's; With Other Essays","Masson, David",1822,1907,['en'],6,"{'Devil in literature', 'Literature -- History and criticism'}",Text,1907,85,4,10
20756,28326,PG35496,Settling Day,"Gould, Nat",1857,1919,['en'],6,{'Australia -- Fiction'},Text,1900,43,2,10
17145,23604,PG31245,Acadian Reminiscences : The True Story of Evangeline,"Voorhies, Felix",1839,1919,['en'],6,"{'Nova Scotia -- History -- 1713-1763', 'Acadians -- Biography', 'Acadians -- United States', 'Labiche, Emmeline', 'Borda, Marie Marthe'}",Text,1847,8,-1,6
9866,13575,PG22219,The Flight of Pony Baker: A Boy's Town Story,"Howells, William Dean",1837,1920,['en'],6,"{'Friendship -- Juvenile fiction', 'Runaway children -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Parent and child -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Amusements -- Juvenile fiction'}",Text,1902,65,4,10
21928,29856,PG36874,A Girl in Spring-Time,"Vaizey, George de Horne, Mrs.",1857,1917,['en'],6,"{'Conduct of life -- Juvenile fiction', 'Schoolgirls -- Juvenile fiction', 'Girls -- Conduct of life -- Juvenile fiction'}",Text,1895,38,2,10
23393,31841,PG38660,Observations grammaticales sur quelques articles du Dictionnaire du mauvais langage,"Deplace, Guy-Marie",1772,1843,['fr'],6,"{'French language -- Grammar', 'French language -- Slang'}",Text,1913,141,4,
15485,21430,PG2928,"Time and Life: Mr. Darwin's ""Origin of Species""","Huxley, Thomas Henry",1825,1895,['en'],6,"{'Evolution (Biology)', 'Darwin, Charles, 1809-1882. On the origin of species'}",Text,1830,5,-1,4
15954,22030,PG2982,"Mark Twain: A Biography. Volume I, Part 1: 1835-1866","Paine, Albert Bigelow",1861,1937,['en'],6,"{'Humorists, American -- 19th century -- Biography', 'Authors, American -- 19th century -- Biography', 'Twain, Mark, 1835-1910', 'Journalists -- United States -- Biography'}",Text,1885,24,0,10
22563,30717,PG37649,"Love Letters of a Violinist, and Other Poems","Mackay, Eric",1851,1898,['en'],7,{'Poetry'},Text,1912,61,3,
1680,2606,PG12346,A Roman Singer,"Crawford, F. Marion (Francis Marion)",1854,1909,['en'],7,"{'Musicians -- Fiction', 'Italy -- Social life and customs -- Fiction'}",Text,1883,29,1,10
21357,29085,PG3617,Widger's Quotations from the Project Gutenberg Editions of Dumas' Celebrated Crimes,"Dumas, Alexandre",1802,1870,['en'],7,{'Quotations'},Text,1896,94,4,10
12348,17035,PG25333,The Great K. & A. Robbery,"Ford, Paul Leicester",1865,1902,['en'],7,{'Train robberies -- Fiction'},Text,1896,31,1,10
12058,16623,PG24963,"Allison Bain; Or, By a Way She Knew Not","Robertson, Margaret M. (Margaret Murray)",1821,1897,['en'],7,{'Canadian fiction'},Text,1890,69,4,10
11567,15974,PG24379,The Admiral's Caravan,"Carryl, Charles E. (Charles Edward)",1841,1920,['en'],7,{'Fairy tales'},Text,1891,50,3,10
6095,8476,PG17630,Christmas Tales and Christmas Verse,"Field, Eugene",1850,1895,['en'],7,"{'Christmas -- Poetry', 'Christmas stories'}",Text,1909,59,3,10
6322,8772,PG17898,Lyra Frivola,"Godley, A. D. (Alfred Denis)",1856,1925,['en'],7,{'Poetry'},Text,1898,42,2,10
6490,8976,PG18080,Normandy Picturesque,"Blackburn, Henry",1830,1897,['en'],7,{'Normandy (France) -- Description and travel'},Text,1870,40,2,8
21035,28665,PG35800,A «San Francisco» : Un atto,"Di Giacomo, Salvatore",1860,1934,['it'],7,{'Italian drama'},Text,1881,21,0,10
23091,31431,PG38291,"A Witch of the Hills, v. 1 [of 2]","Warden, Florence",1857,1929,['en'],7,{'Fiction'},Text,1889,32,1,10
10172,14008,PG22609,"The Writings of James Russell Lowell in Prose and Poetry, Volume V: Political Essays","Lowell, James Russell",1819,1891,['en'],7,"{'United States -- Politics and government -- 1865-1869', 'United States -- Politics and government -- 1861-1865'}",Text,1848,29,1,6
7380,10104,PG19096,Indian Legends and Other Poems,"Horsford, Mary Gardiner",1824,1855,['en'],7,{'Indians of North America -- Poetry'},Text,1889,65,4,10
8931,12329,PG21098,The Independence of Claire,"Vaizey, George de Horne, Mrs.",1857,1917,['en'],7,"{'Teachers -- Fiction', 'Love stories', 'Mothers and daughters -- Fiction', 'Young women -- Fiction'}",Text,1863,6,-1,8
2990,4402,PG13963,Ireland Since Parnell,"Sheehan, D. D. (Daniel Desmond)",1873,1948,['en'],7,"{'Ireland -- Politics and government', 'Irish question'}",Text,1891,18,0,10
8981,12447,PG21203,The Tale of Grandfather Mole,"Bailey, Arthur Scott",1877,1949,['en'],7,"{'Conduct of life -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Moles (Animals) -- Juvenile fiction'}",Text,1908,31,1,10
12753,17580,PG25824,The Tale of Rusty Wren,"Bailey, Arthur Scott",1877,1949,['en'],7,"{'Animals -- Juvenile fiction', 'Wrens -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",Text,1908,31,1,10
21340,29064,PG3615,"John Bull on the Guadalquivir: From ""Tales from All Countries""","Trollope, Anthony",1815,1882,['en'],7,"{'British -- Spain -- Fiction', 'Courtship -- Fiction', 'Short stories'}",Text,1868,53,3,8
3904,5652,PG15088,"Proserpina, Volume 2: Studies of Wayside Flowers, While the Air was Yet Pure Among the Alps and in the Scotland and England Which My Father Knew","Ruskin, John",1819,1900,['en'],7,"{'Plants', 'Flowers'}",Text,1884,65,4,10
15965,22041,PG2983,"Mark Twain: A Biography. Volume I, Part 2: 1835-1866","Paine, Albert Bigelow",1861,1937,['en'],7,"{'Humorists, American -- 19th century -- Biography', 'Authors, American -- 19th century -- Biography', 'Twain, Mark, 1835-1910', 'Journalists -- United States -- Biography'}",Text,1885,24,0,10
19795,27090,PG34383,John the Baptist: A Play,"Sudermann, Hermann",1857,1928,['en'],7,"{'John the Baptist, Saint -- Drama', 'German drama -- Translations into English'}",Text,1877,20,0,9
20312,27723,PG34953,Quicksands,"Streckfuss, Adolf",1823,1895,['en'],7,{'German fiction -- Translations into English'},Text,1904,81,4,10
19098,26184,PG33568,"History of the War Between Mexico and the United States, with a Preliminary View of its Origin, Volume 1","Mayer, Brantz",1809,1879,['en'],7,"{'Mexican War, 1846-1848'}",Text,1884,75,4,10
1162,1824,PG11642,"What to See in England: A Guide to Places of Historic Interest, Natural Beauty or Literary Association","Home, Gordon",1878,1969,['en'],7,"{'Wales -- Guidebooks', 'England -- Guidebooks'}",Text,1884,6,-1,10
18497,25377,PG32841,The Laird o' Coul's Ghost,"Ogilvie, William",1688,1729,['en'],7,{'Ghosts'},Text,1863,175,4,8
